iter	Passed	Remaining
0	139	139128
1	140	69877
2	140	46743
3	141	35216
4	142	28278
5	142	23649
6	143	20346
7	144	17863
8	144	15927
9	145	14377
10	145	13102
11	146	12052
12	147	11164
13	147	10399
14	148	9732
15	148	9152
16	149	8638
17	149	8180
18	150	7775
19	151	7409
20	151	7077
21	152	6774
22	152	6492
23	153	6233
24	153	5999
25	154	5780
26	154	5577
27	155	5388
28	155	5212
29	156	5049
30	156	4896
31	157	4752
32	157	4618
33	158	4491
34	158	4370
35	158	4257
36	159	4151
37	160	4051
38	160	3954
39	160	3863
40	161	3775
41	161	3692
42	162	3613
43	162	3538
44	163	3466
45	163	3397
46	164	3331
47	164	3268
48	165	3208
49	165	3150
50	166	3095
51	166	3041
52	167	2989
53	167	2937
54	168	2890
55	168	2843
56	169	2798
57	169	2755
58	170	2713
59	170	2672
60	171	2632
61	171	2594
62	171	2557
63	172	2521
64	173	2488
65	173	2456
66	174	2423
67	174	2391
68	174	2360
69	175	2330
70	175	2301
71	176	2272
72	176	2244
73	177	2218
74	177	2192
75	178	2167
76	178	2142
77	179	2117
78	179	2094
79	180	2070
80	180	2047
81	181	2026
82	181	2003
83	181	1982
84	182	1961
85	182	1942
86	183	1923
87	183	1904
88	184	1885
89	184	1867
90	185	1849
91	185	1831
92	186	1814
93	186	1798
94	186	1781
95	187	1764
96	187	1749
97	188	1734
98	188	1718
99	189	1703
100	189	1688
101	190	1674
102	190	1661
103	191	1647
104	191	1634
105	192	1620
106	192	1607
107	193	1594
108	193	1581
109	194	1570
110	194	1557
111	194	1545
112	195	1533
113	195	1523
114	196	1512
115	197	1502
116	197	1491
117	198	1480
118	198	1470
119	199	1460
120	199	1450
121	200	1439
122	200	1429
123	201	1420
124	201	1410
125	201	1400
126	202	1390
127	202	1381
128	203	1372
129	203	1363
130	204	1354
131	204	1345
132	205	1337
133	205	1328
134	206	1320
135	206	1312
136	207	1304
137	207	1296
138	208	1288
139	208	1280
140	208	1273
141	209	1264
142	209	1257
143	210	1252
144	211	1245
145	211	1239
146	212	1233
147	213	1226
148	213	1220
149	214	1213
150	214	1207
151	215	1200
152	215	1194
153	216	1188
154	216	1181
155	217	1175
156	217	1170
157	218	1163
158	218	1158
159	219	1152
160	219	1145
161	220	1140
162	220	1134
163	221	1129
164	222	1123
165	222	1118
166	223	1113
167	223	1108
168	224	1102
169	224	1097
170	225	1092
171	225	1086
172	226	1081
173	226	1076
174	227	1070
175	227	1065
176	228	1060
177	228	1055
178	229	1050
179	229	1045
180	230	1040
181	230	1036
182	231	1031
183	231	1026
184	232	1022
185	232	1017
186	233	1013
187	233	1008
188	234	1004
189	234	999
190	235	995
191	235	991
192	236	986
193	236	982
194	237	978
195	237	974
196	238	970
197	238	967
198	239	963
199	239	959
200	240	955
201	240	951
202	241	947
203	241	943
204	242	939
205	242	935
206	243	932
207	243	928
208	244	924
209	244	920
210	245	917
211	245	913
212	246	909
213	246	905
214	247	902
215	247	898
216	248	894
217	248	891
218	248	887
219	249	884
220	249	880
221	250	877
222	250	873
223	251	870
224	251	867
225	252	864
226	252	861
227	253	857
228	253	854
229	254	851
230	254	848
231	255	844
232	255	841
233	256	838
234	256	835
235	256	831
236	257	828
237	257	825
238	258	822
239	258	819
240	259	816
241	259	813
242	260	811
243	260	808
244	261	805
245	261	802
246	262	799
247	262	796
248	263	793
249	263	790
250	263	787
251	264	784
252	264	781
253	265	778
254	265	775
255	266	773
256	266	770
257	267	767
258	267	765
259	267	762
260	268	759
261	268	757
262	269	754
263	269	752
264	270	749
265	270	746
266	271	744
267	271	741
268	271	739
269	272	736
270	272	734
271	273	731
272	273	729
273	274	726
274	274	724
275	275	721
276	275	719
277	276	717
278	276	714
279	277	712
280	277	710
281	278	707
282	278	705
283	279	703
284	279	701
285	280	699
286	280	696
287	280	694
288	281	692
289	282	690
290	282	688
291	282	686
292	283	683
293	283	681
294	284	679
295	284	677
296	285	675
297	285	673
298	286	671
299	286	669
300	287	667
301	287	665
302	288	662
303	288	661
304	289	659
305	289	657
306	290	655
307	290	652
308	291	650
309	291	648
310	291	646
311	292	644
312	292	642
313	293	640
314	293	639
315	294	637
316	294	635
317	295	633
318	295	631
319	296	629
320	296	627
321	297	625
322	297	624
323	298	622
324	298	620
325	299	618
326	299	616
327	300	614
328	300	612
329	300	611
330	301	609
331	301	607
332	302	605
333	302	603
334	303	601
335	303	600
336	304	598
337	304	596
338	305	594
339	305	593
340	306	591
341	306	589
342	307	588
343	307	586
344	308	584
345	308	583
346	309	581
347	309	580
348	310	578
349	310	576
350	311	575
351	311	573
352	312	571
353	312	570
354	312	568
355	313	566
356	313	565
357	314	563
358	314	562
359	315	560
360	315	559
361	316	557
362	316	556
363	317	554
364	317	552
365	318	551
366	318	549
367	319	548
368	319	546
369	320	545
370	320	543
371	320	541
372	321	540
373	322	539
374	322	538
375	323	536
376	324	535
377	324	534
378	325	532
379	325	531
380	326	530
381	326	528
382	327	527
383	327	525
384	328	524
385	328	522
386	329	521
387	329	519
388	330	518
389	330	516
390	330	515
391	331	513
392	331	512
393	332	510
394	332	509
395	333	508
